,microbiome_OTU.1,microbiome_OTU.5,microbiome_OTU.60,microbiome_OTU.87,microbiome_OTU.94,microbiome_OTU.101,microbiome_OTU.116,microbiome_OTU.118,microbiome_OTU.191,microbiome_OTU.225,microbiome_OTU.268,microbiome_OTU.372,microbiome_OTU.417,microbiome_OTU.480,microbiome_OTU.536,microbiome_OTU.557,microbiome_OTU.590,microbiome_OTU.628,microbiome_OTU.663,microbiome_OTU.1004,microbiome_OTU.1014,microbiome_OTU.1042
4034_1,0.47269431589146,-0.0382635325338591,0.727836717396568,-0.0211977945923257,0.0462269409179176,0.446141335206263,0.750905712160744,0.272198737588702,0.755891288841783,0.565352270085001,0.919159283282517,0.258204370747995,0.56551496976698,-0.163587835438363,-1.01735146256827,0.0918762265368242,-1.47395792762061,-1.94778784754648,0.352749678616749,-0.668189408990896,-1.0277745589229,1.41140515934513
4034_2,0.433751139477673,-0.0608080753086786,0.845689690120777,0.0535272711127951,-0.113065536123205,0.593459811762154,0.647560710604179,0.494810750699019,0.655417651766958,0.515410814463123,0.955719608485526,0.510373777205018,0.40208677066345,-0.0683614805433716,-1.02485855021787,1.00566682974527,-1.48287530281537,-1.95749330646889,0.895282239746731,-0.680245165683345,-1.03861062636617,-0.86368716946551
4034_3,0.544656659860719,-0.0658769513093438,0.6981404809743,0.137303552272199,-0.303868804344165,0.666786587901646,0.394504266367476,0.590207564577104,0.973549312001933,0.885550263368124,0.915401251282909,0.511726059766202,0.601992052979231,-0.0677785970072888,-1.08370464042404,0.725521324701223,-1.55277626702493,-2.03357185222436,0.881180285763246,-0.77474707893393,-1.12355171564204,-0.960307590380857
4034_4,0.752528941895491,-0.192995297777385,0.681169739778418,-0.229246972547958,0.132641743087969,0.53025902088578,0.177272929104758,0.30815317944327,1.01929287199864,0.626588730116767,0.565000002330246,0.596641150514255,-0.239457819015165,-0.189516507058766,-1.18944968374687,0.933657693261925,-1.67838665953786,0.113252117767246,0.662864872086707,-0.944564799631462,-1.2761888599943,-1.13393221964284
4034_5,3.10315159495542e-16,-2.82573265240647e-15,2.53957508169806e-16,-1.90405967784532e-15,-3.37493090441417e-16,7.70906060273739e-17,0,2.30084178945595e-16,2.66463041983513e-16,0,-1.4499436841539e-16,1.68939559156749e-16,-2.58011806867263e-17,-5.71106796180553e-17,-2.45045590605105e-16,1.32319480571665e-16,0,0,3.77014050782356e-16,-1.96761391153342e-15,-5.30564715055563e-16,-8.04689250373775e-16
4035_1,3.10315159495542e-16,-2.82573265240647e-15,2.53957508169806e-16,-1.90405967784532e-15,-3.37493090441417e-16,7.70906060273739e-17,0,2.30084178945595e-16,2.66463041983513e-16,0,-1.4499436841539e-16,1.68939559156749e-16,-2.58011806867263e-17,-5.71106796180553e-17,-2.45045590605105e-16,1.32319480571665e-16,0,0,3.77014050782356e-16,-1.96761391153342e-15,-5.30564715055563e-16,-8.04689250373775e-16
4035_2,1.37678832016443,0.90826722624769,0.441090082164735,0.302165319212131,0.134275098436141,-0.201836577726026,-3.67163238842661,1.67631956333368,-1.17951423207099,0.480408373575779,1.08986491548452,1.72489323679969,0.358533393320045,-2.62046761601725,2.095912683235,-0.581042001185779,-0.958286073359995,0.250491314679067,-1.06845028159786,0.0289680249323978,-0.401149025139333,-0.138575109413271
4035_3,1.07009648678457,1.09894422636269,0.497428418482471,0.45864212319521,0.538115388193679,0.793388733969065,-3.79665206290798,1.74252504742754,-1.24581897008865,0.881477488517702,1.13489822851524,1.94043380776934,1.09192590213419,-2.73415568688509,2.01041752765976,-0.646892848107199,-1.03071633053761,-1.46537424273113,-1.14350104339962,-0.0689533407871933,-0.489163618511088,-0.238691638772257
4035_4,1.03918375350102,0.324483564599667,0.169676822203879,-0.50164070963833,0.224287209067977,-0.109147719727407,-0.455622048593429,1.16903842256863,-1.42645590803181,0.299357030610811,0.84079549534107,1.39394956082133,1.15572989426001,-3.04388113963877,1.92228304424284,-0.826293230409926,-1.22804129195315,-1.68013803426827,-1.34796516176418,2.24884571813213,-0.728945678079038,1.7417668258094
4035_5,1.17935646692585,0.164034107768778,0.261627725145211,-0.137193275703031,0.384380510617389,0.938038096987274,-3.85109495361215,1.06063199092284,-1.27469299827692,1.06477336716872,0.716768642143836,1.22230884956775,1.56325791078831,-2.78366395222255,1.88387343333456,-0.675569218259274,-1.06225786663227,-1.49970329990666,-1.17618374265467,-0.111595606763249,1.75400298065637,-0.282289842720421
4036_1,-0.196343818077134,-0.744525922353497,-0.199215908032595,0.147319481175226,-0.0478945037118864,-0.384487139396219,0.0397281769893513,-0.147030576087878,-0.091897677836407,-1.6597272531322,-0.553148703570775,0.464341272240128,0.389968129419919,0.521453904444363,1.32111778517056,-0.903442805877569,-1.31289917690843,-0.25325430198526,1.26975243880541,-0.45044763303458,1.3016720050282,1.78505796306492
4036_2,0.44005474263835,-1.09695069312863,-0.696280777989694,-0.340728675463844,-0.608694928211827,0.105286636763187,0.314878210057491,-0.459812965776696,-0.0169279124881389,-1.89909596615144,0.194138561227628,0.52594888238079,0.165417679800863,0.246554952273463,1.39293866728991,-1.13042381465017,0.590803070179495,0.475451944844176,1.26117075907921,-0.787972378888597,-1.13543900284617,1.69639747507169
